Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
222910,Apple Airpods Headphones,1,150,07/26/21 16:51,"389 South St, Atlanta, GA 30301"
222911,Flatscreen TV,1,300,07/05/21 08:55,"590 4th St, Seattle, WA 98101"
222912,AA Batteries (4-pack),1,3.84,07/29/21 12:41,"861 Hill St, Atlanta, GA 30301"
222913,AA Batteries (4-pack),1,3.84,07/28/21 10:15,"190 Ridge St, Atlanta, GA 30301"
222914,AAA Batteries (4-pack),5,2.99,07/31/21 02:13,"824 Forest St, Seattle, WA 98101"
222915,Bose SoundSport Headphones,1,99.99,07/03/21 18:30,"899 Elm St, San Francisco, CA 94016"
222916,Google Phone,1,600,07/21/21 22:39,"745 Chestnut St, New York City, NY 10001"
222917,LG Dryer,1,600.0,07/17/21 13:44,"490 Adams St, New York City, NY 10001"
222918,USB-C Charging Cable,1,11.95,07/14/21 21:16,"207 1st St, Los Angeles, CA 90001"
222919,Lightning Charging Cable,1,14.95,07/14/21 13:24,"29 Jefferson St, Dallas, TX 75001"
222920,AA Batteries (4-pack),1,3.84,07/30/21 04:42,"590 6th St, San Francisco, CA 94016"
222921,Lightning Charging Cable,1,14.95,07/02/21 11:04,"960 Willow St, San Francisco, CA 94016"
222922,34in Ultrawide Monitor,1,379.99,07/20/21 21:12,"616 Chestnut St, Dallas, TX 75001"
222923,AAA Batteries (4-pack),1,2.99,07/05/21 12:16,"105 Johnson St, Los Angeles, CA 90001"
222924,Bose SoundSport Headphones,1,99.99,07/13/21 20:46,"444 Spruce St, San Francisco, CA 94016"
222925,Apple Airpods Headphones,1,150,07/09/21 02:59,"764 Adams St, San Francisco, CA 94016"
222926,Lightning Charging Cable,2,14.95,07/15/21 17:44,"577 Lakeview St, Los Angeles, CA 90001"
222927,Wired Headphones,1,11.99,07/31/21 20:34,"244 Washington St, Los Angeles, CA 90001"
222928,Google Phone,1,600,07/15/21 17:18,"524 Cherry St, San Francisco, CA 94016"
222929,Vareebadd Phone,1,400,07/04/21 19:46,"882 Hickory St, Boston, MA 02215"
222930,Lightning Charging Cable,1,14.95,07/20/21 20:57,"826 River St, San Francisco, CA 94016"
222931,USB-C Charging Cable,1,11.95,07/18/21 09:21,"145 Pine St, Boston, MA 02215"
